BrandId,BrandName,Brand,Name,ProductName,Bloomberg Ticker,Category2Id,Category2Name,SalesUnit,SalesValue
30116,CARTELO/卡帝乐鳄鱼,Cartelo/卡帝乐鳄鱼,卡帝乐鳄鱼,NanJi E-Commerce,002127 CH EQUITY,50071810,饭盒袋/保温包,21,354.9
29504,Meters Bonwe/美特斯邦威,Meters Bonwe/美特斯邦威,美特斯邦威,Metersbonwe,002269 CH EQUITY,56532007,15年新品羽绒,477,72099.0
66878525,Whirlpool/惠而浦,Whirlpool/惠而浦,惠而浦,Whirlpool China,600983 CH EQUITY,54298151,空气净化/氧吧,289,1125762.0
66878525,Whirlpool/惠而浦,Whirlpool/惠而浦,惠而浦,Whirlpool China,600983 CH EQUITY,54298156,扫地机器人,1,1199.0
43251,THREEGUN/三枪,THREEGUN/三枪,三枪,Shanghai Dragon,600630 CH EQUITY,54294654,基础内衣,26042,1370033.1999999995
150376562,aller-a/爱旅儿,ALLER-A/爱旅儿,爱旅儿,Harson Trading,603958 CH EQUITY,54304845,牛津鞋,7,2713.0
30652,Midea/美的,Midea/美的,美的,Midea,000333 CH EQUITY,50916025,电炖/煮粥锅/文火炉,31203,4835717.0
48481339,Hodo/红豆,Hodo/红豆,红豆,Hongdo,600400 CH EQUITY,54292827,床品/毛巾/内衣/泳衣,235,5526.599999999999
29976,曼妮芬,Maniform/曼妮芬,曼妮芬,Huijie,002763 CH EQUITY,50043488,身体护理套装,169,7877.0
29976,曼妮芬,Maniform/曼妮芬,曼妮芬,Huijie,002763 CH EQUITY,50043484,颈部护理,4,1156.0
11016,Haier/海尔,Haier/海尔,海尔,Haier,600690 CH EQUITY,54296492,日常监测,4162,546194.4
56670,莫高,Mogao/莫高,莫高,Mogao,600543 CH EQUITY,50072114,葡萄美酒,7239,1337840.0
30654,Royalstar/荣事达,Royalstar/荣事达,荣事达,Whirlpool China,600983 CH EQUITY,50918004,冰箱,146,216954.0
30654,Royalstar/荣事达,Royalstar/荣事达,荣事达,Whirlpool China,600983 CH EQUITY,50918005,洗衣机,2324,2572002.0
29519,Septwolves/七匹狼,Septwolves/七匹狼,七匹狼,Septwolves,002029 CH EQUITY,54862001,拼接衬衫,350,80160.0
3963987,M&middot;J BABY/梦洁宝贝,梦洁宝贝,梦洁宝贝,Mendale Home,002397 CH EQUITY,52276001,四件套,1012,538807.0
21663,Great Wall/长城,GreatWall/长城,长城,Greatwall Tech,000066 CH EQUITY,54300124,台机电源,3170,987857.0
135284,Joeone/九牧王,Joeone/九牧王,九牧王,Joeone,601566 CH EQUITY,56772011,拼接T恤,17,4682.0
3583923,Nature&rsquo;s Bounty/自然之宝,Naturesbounty/自然之宝,自然之宝,By-health,300146 CH EQUITY,54290874,菌/菇/微生物发酵,5639,851227.0
44618,REDDRAGONFLY/红蜻蜓,RED DRAGONFLY/红蜻蜓,红蜻蜓,Red Dragonfly,603116 CH EQUITY,54614004,学步鞋,996,84831.0
135284,Joeone/九牧王,Joeone/九牧王,九牧王,Joeone,601566 CH EQUITY,56772012,小脚牛仔裤,70,22358.0
