BrandId,BrandName,Brand,Name,ProductName,Bloomberg Ticker,Category2Id,Category2Name,SalesUnit,SalesValue
92530,GE/通用电气,GE Appliance,GE/通用电气,Haier,600690 CH EQUITY,54910005,玻璃胶,7664,301830.6
859328030,每日每加,Merryplus/每日每加,每日每加,By-health,300146 CH EQUITY,54290798,营养保健,0,0.0
106720579,尹默,尹默,尹默,Anzheng Fashion,603839 CH EQUITY,54288728,女T恤,79,28192.0
604312004,九洲（电子）,JEZETEK/九洲（电子）,九洲（电子）,Jiuzhou,000801 CH EQUITY,54300109,电脑硬件,0,0.0
106720579,尹默,尹默,尹默,Anzheng Fashion,603839 CH EQUITY,54288726,T恤,79,28192.0
4536831,露露,Lolo/露露,露露,Chengde Lolo,000848 CH EQUITY,54990011,茶冲调,10332,792969.2
449440732,Dbln/东博利尼,TOMBOLINI/东博利尼,Dbln/东博利尼,Baoxiniao,002154 CH EQUITY,54302965,家具,115,243963.0
3560008,速美,速美超级家,速美,Dong Yi Ri Sheng,002713 CH EQUITY,55752013,全包装修,9,929.9
26846034,明牌珠宝,明牌珠宝（MINGR 明）,明牌珠宝,Ming Jewelry,002574 CH EQUITY,54288525,铂金项链,123,236713.14
4536831,露露,Lolo/露露,露露,Chengde Lolo,000848 CH EQUITY,54290798,营养保健,68,5433.200000000001
3651711,KELA．CN/珂兰钻石,KELA/珂兰,KELA．CN/珂兰钻石,Gansu Gangtai,600687 CH EQUITY,54288517,商场同款,74,107664.0
3352165,Ed hardy,Ed Hardy ,Ed hardy,ELLASSAY,603808 CH EQUITY,55930004,游泳运动,5,5880.0
3651711,KELA．CN/珂兰钻石,KELA/珂兰,KELA．CN/珂兰钻石,Gansu Gangtai,600687 CH EQUITY,54288520,坦桑石,1,1299.0
3651711,KELA．CN/珂兰钻石,KELA/珂兰,KELA．CN/珂兰钻石,Gansu Gangtai,600687 CH EQUITY,54288525,铂金项链,343,305965.42000000004
3651711,KELA．CN/珂兰钻石,KELA/珂兰,KELA．CN/珂兰钻石,Gansu Gangtai,600687 CH EQUITY,54288524,钻石吊坠,345,502303.0
26846034,明牌珠宝,明牌珠宝（MINGR 明）,明牌珠宝,Ming Jewelry,002574 CH EQUITY,54288516,2015新款,13,10831.15
26846034,明牌珠宝,明牌珠宝（MINGR 明）,明牌珠宝,Ming Jewelry,002574 CH EQUITY,54288517,商场同款,543,588516.82
5413560,酒鬼,酒鬼,酒鬼,Jiugui Liquor,000799 CH EQUITY,54996010,美酒,6244,1793631.0599999998
8295498,IRO,IRO ,IRO,ELLASSAY,603808 CH EQUITY,54296224,天猫国际,0,0.0
80881,梦洁,梦洁家纺,梦洁,Mendale Home,002397 CH EQUITY,54298141,生活电器,9,1011.0
20328,伊利,PURE NUTRA/培然,伊利,Yili,600887 CH EQUITY,54288435,宝宝食品,1392691,77856842.26000006
8868196,九龙斋,九龙斋,九龙斋,Yanjing Beer,000729 CH EQUITY,54990011,茶冲调,234,17778.9
20328,伊利,PURE NUTRA/培然,伊利,Yili,600887 CH EQUITY,54288437,牛奶粉,48314,8377766.030000001
3651711,KELA．CN/珂兰钻石,KELA/珂兰,KELA．CN/珂兰钻石,Gansu Gangtai,600687 CH EQUITY,55566012,K金饰品,457,277116.0
3651711,KELA．CN/珂兰钻石,KELA/珂兰,KELA．CN/珂兰钻石,Gansu Gangtai,600687 CH EQUITY,54288516,2015新款,180,220639.49
92530,GE/通用电气,GE Appliance,GE/通用电气,Haier,600690 CH EQUITY,54312026,灯饰,844,26519.55
4146697,Me&City,Me&City,Me&City,Metersbonwe,002269 CH EQUITY,54298748,男鞋,38,14332.0
4536800,小老黄,小老黄,小老黄,Jinzi Ham,002515 CH EQUITY,55006007,休闲零食,98,3975.2
111262902,味立方,味立方,味立方,Gaugen,870909 CH EQUITY,55012006,粮油调味,2189,36775.200000000004
3651711,KELA．CN/珂兰钻石,KELA/珂兰,KELA．CN/珂兰钻石,Gansu Gangtai,600687 CH EQUITY,54288518,投资金,4,6140.0
